Exhaustive search results ordered by lowest SUM OF DIFFERENCES AS PERCENTAGE OF MEASURED EXECUTION TIME (sum_of_diffs / actual_exec)

sum_of_diff(%)      sim_err(%)     map_cf, reduce_cf     sim_map , actual_map    sim_redu , actual_redu      sim_elap , actual_elap  sum_of_diff
    4.13              3.66          0.98% , 1.10          852.99 , 809.00           184.80 , 184.00            1084.77 , 1126.00      44.79
    4.14             11.23          0.91% , 0.95          792.06 , 809.00           159.60 , 184.00             999.57 , 1126.00      41.34
    4.14              3.81          0.98% , 1.09          852.99 , 809.00           183.12 , 184.00            1083.09 , 1126.00      44.87
    4.17             11.28          0.90% , 1.00          783.36 , 809.00           168.00 , 184.00             998.97 , 1126.00      41.64
    4.17             11.21          0.93% , 0.85          809.47 , 809.00           142.80 , 184.00             999.77 , 1126.00      41.67
    4.18              5.27          0.97% , 1.04          844.29 , 809.00           174.72 , 184.00            1066.69 , 1126.00      44.57
     4.2             11.33          0.89% , 1.05          774.66 , 809.00           176.40 , 184.00             998.37 , 1126.00      41.94
    4.22              6.81          0.96% , 0.99          835.58 , 809.00           166.32 , 184.00            1049.29 , 1126.00      44.26
    4.25              3.48          0.97% , 1.16          844.29 , 809.00           194.88 , 184.00            1086.85 , 1126.00      46.17
    4.26              8.36          0.95% , 0.94          826.88 , 809.00           157.92 , 184.00            1031.89 , 1126.00      43.96
    4.28             11.41          0.92% , 0.89          800.77 , 809.00           149.52 , 184.00             997.49 , 1126.00      42.71
    4.28              3.51          0.98% , 1.11          852.99 , 809.00           186.48 , 184.00            1086.45 , 1126.00      46.47
    4.29              9.84          0.89% , 1.15          774.66 , 809.00           193.20 , 184.00            1015.17 , 1126.00      43.54
     4.3              9.81          0.94% , 0.89          818.18 , 809.00           149.52 , 184.00            1015.49 , 1126.00      43.66
     4.3              3.96          0.98% , 1.08          852.99 , 809.00           181.44 , 184.00            1081.41 , 1126.00      46.55
    4.31             11.38          0.91% , 0.94          792.06 , 809.00           157.92 , 184.00             997.89 , 1126.00      43.02
    4.34             11.43          0.90% , 0.99          783.36 , 809.00           166.32 , 184.00             997.29 , 1126.00      43.32
    4.34             11.36          0.93% , 0.84          809.47 , 809.00           141.12 , 184.00             998.09 , 1126.00      43.35
    4.34              5.42          0.97% , 1.03          844.29 , 809.00           173.04 , 184.00            1065.01 , 1126.00      46.25
    4.38             11.48          0.89% , 1.04          774.66 , 809.00           174.72 , 184.00             996.69 , 1126.00      43.62
    4.39             11.39          0.88% , 1.10          765.95 , 809.00           184.80 , 184.00             997.77 , 1126.00      43.85
    4.39              6.96          0.96% , 0.98          835.58 , 809.00           164.64 , 184.00            1047.61 , 1126.00      45.94
     4.4              3.33          0.97% , 1.17          844.29 , 809.00           196.56 , 184.00            1088.53 , 1126.00      47.85
    4.41             11.54          0.88% , 1.09          765.95 , 809.00           183.12 , 184.00             996.09 , 1126.00      43.93
    4.43              8.51          0.95% , 0.93          826.88 , 809.00           156.24 , 184.00            1030.21 , 1126.00      45.64
    4.43              3.36          0.98% , 1.12          852.99 , 809.00           188.16 , 184.00            1088.13 , 1126.00      48.15
    4.45              9.69          0.89% , 1.16          774.66 , 809.00           194.88 , 184.00            1016.85 , 1126.00      45.22
    4.46             11.56          0.92% , 0.88          800.77 , 809.00           147.84 , 184.00             995.81 , 1126.00      44.39
    4.47              9.96          0.94% , 0.88          818.18 , 809.00           147.84 , 184.00            1013.81 , 1126.00      45.34
    4.47              4.11          0.98% , 1.07          852.99 , 809.00           179.76 , 184.00            1079.73 , 1126.00      48.23
    4.49             11.53          0.91% , 0.93          792.06 , 809.00           156.24 , 184.00             996.21 , 1126.00       44.7
    4.51              5.57          0.97% , 1.02          844.29 , 809.00           171.36 , 184.00            1063.33 , 1126.00      47.93
    4.52             11.58          0.90% , 0.98          783.36 , 809.00           164.64 , 184.00             995.61 , 1126.00       45.0
    4.52             11.51          0.93% , 0.83          809.47 , 809.00           139.44 , 184.00             996.41 , 1126.00      45.03
    4.54              3.18          0.97% , 1.18          844.29 , 809.00           198.24 , 184.00            1090.21 , 1126.00      49.53
    4.55             11.63          0.89% , 1.03          774.66 , 809.00           173.04 , 184.00             995.01 , 1126.00       45.3
    4.55              7.11          0.96% , 0.97          835.58 , 809.00           162.96 , 184.00            1045.93 , 1126.00      47.62
